┃4K超高清,#genre#
CCTV4,http://39.152.103.17:8089/tsfile/live/1003_1.m3u8$ipv4•线路6(234ms)
CCTV4,http://153.0.171.163:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$ipv4•线路7(235ms)
CCTV4,http://153.0.171.163:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$ipv4•线路8(235ms)
CCTV4,http://112.27.235.94:8000/hls/4/index.m3u8$ipv4•线路9(365ms)
CCTV4,http://112.27.235.94:8000/hls/4/index.m3u8$ipv4•线路10(365ms)
CCTV4,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8$ipv4•线路11(366ms)
CCTV4,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8$ipv4•线路12(366ms)
CCTV4,http://120.76.248.139/live/bfgd/4200000063.m3u8$ipv4•线路13(375ms)
CCTV4,http://120.76.248.139/live/bfgd/4200000063.m3u8$ipv4•线路14(375ms)
CCTV4,http://120.202.94.181:9446/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0$ipv4•线路15(414ms)
CCTV4,http://120.202.94.181:9446/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0$ipv4•线路16(414ms)
CCTV4,http://111.43.126.240:9003/hls/16/index.m3u8$ipv4•线路17(423ms)
CCTV4,http://111.43.126.240:9003/hls/16/index.m3u8$ipv4•线路18(423ms)
CCTV4,http://nn.7x9d.cn/xzc2.php?ua=TW96aWxsYS81LjAgKFdpbmRvd3MgTlQgNi4xOyBXaW42NDsgeDY0KSBBcHBsZVdlYktpdC81MzcuMzYgKEtIVE1MLCBsaWtlIEdlY2tvKSBDaHJvbWUvMTA2LjAuMC4wIFNhZmFyaS81MzcuMzY=&hls=aHR0cDovL3R2dGouanh3bHR4LmNvbTo4MDAzL2NjdHY0Lm0zdTg=$ipv4•线路19(446ms)
CCTV4,http://nn.7x9d.cn/xzc2.php?ua=TW96aWxsYS81LjAgKFdpbmRvd3MgTlQgNi4xOyBXaW42NDsgeDY0KSBBcHBsZVdlYktpdC81MzcuMzYgKEtIVE1MLCBsaWtlIEdlY2tvKSBDaHJvbWUvMTA2LjAuMC4wIFNhZmFyaS81MzcuMzY=&hls=aHR0cDovL3R2dGouanh3bHR4LmNvbTo4MDAzL2NjdHY0Lm0zdTg=$ipv4•线路20(446ms)
CCTV4,http://221.13.235.66:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$ipv4•线路21(448ms)
